a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.45-1
ack 2.18-3
acl 2.2.52-4
adwaita-icon-theme 3.24.0-1
aircrack-ng 1.2rc4-4
alsa-lib 1.1.4.1-1
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
android-udev 20170902-1
apache 2.4.27-1
apache-ant 1.9.7-1
apr 1.6.2-1
apr-util 1.6.0-1
arandr 0.1.9-2
archlinux-keyring 20170823-1
arpack 3.5.0-1
asciidoc 8.6.9-3
aspell 0.60.6.1-5
astyle 3.0.1-1
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
attica-qt4 0.4.2-3
attica-qt5 5.38.0-1
attr 2.4.47-3
audacity 2.1.3-1
audit 2.7.6-2
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
babl 0.1.30-1
bash 4.4.012-2
bc 1.07.1-1
biber 2.7-3
bind-tools 9.11.2-2
binutils 2.29.0-1
bison 3.0.4-3
blas 3.7.1-2
bluez 5.46-1
bluez-libs 5.46-1
boost 1.64.0-4
boost-libs 1.64.0-4
bridge-utils 1.6-2
btrfs-progs 4.12.1-1
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.32-1
ca-certificates-utils 20170307-1
cairo 1.14.10-1
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
cblas 3.7.1-2
cdparanoia 10.2-5
cdrtools 3.02a07-2
celt 0.11.3-2
cfitsio 3.410-1
check 0.11.0-1
cheese 3.24.0-1
chromaprint 1.4.2-1
chromium 61.0.3163.79-1
cifs-utils 6.7-2
clang 4.0.1-5
clisp 2.49-6
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gst 3.0.24-1
clutter-gtk 1.8.4-1
cmake 3.9.2-2
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.1-1
colord-gtk 0.1.26+5+ga9d9c91-1
compositeproto 0.4.2-3
confuse 3.2.1-1
containerd 0.2.9-1
coreutils 8.28-1
cpupower 4.13-1
cracklib 2.9.6-1
cronie 1.5.1-1
